"Tipo de proyecto"	"Número de programadores"	"Tiempo"	"Ingresos"
"Página web"	7	627.58	35092.99
"Página web"	6	534.61	31258.51
"Comercio Eléctrónico"	3	232.31	8712.25
"Página web"	6	553.54	32981.95
"Comercio Eléctrónico"	5	391.65	23830.18
"Página web"	5	576.45	39915.24
"Página web"	7	620.69	37298
"Página web"	4	535.54	27424.91
"Página web"	3	323.09	19398.43
"Página web"	5	522.85	28333.95
"Comercio Eléctrónico"	5	410.52	23686.98
"Página web"	4	423.65	27098
"Página web"	6	540.25	35061.08
"Página web"	7	634.99	35740.32
"Página web"	4	513.94	29798.49
"Página web"	7	607.69	36997.53
"Página web"	3	307.26	18254.31
"Página web"	5	456.62	26882.97
"Página web"	3	328.59	25380.45
"Página web"	5	467.13	25926.02
"Página web"	6	548.62	34659.21
"Comercio Eléctrónico"	4	302.98	16712.87
"Página web"	3	333.51	21723.88
"Comercio Eléctrónico"	4	689.91	36725.23
"Página web"	5	451.22	27599.02
"Comercio Eléctrónico"	3	519.8	25879.12
"Página web"	3	334.83	24786.68
"Comercio Eléctrónico"	5	461.46	22424.25
"Comercio Eléctrónico"	6	454.4	15690.25
"Página web"	4	480.43	35825.82
"Comercio Eléctrónico"	3	257.07	15664.83
"Comercio Eléctrónico"	4	364.57	16018.29
"Página web"	4	402.12	24529.84
"Página web"	4	540.2	31255.33
"Página web"	4	399.71	19366.3
"Página web"	4	414.44	26229.82
"Página web"	5	559.06	35899.92
"Comercio Eléctrónico"	4	306.4	15664.61
"Página web"	6	545.97	32433.41
"Página web"	5	513.12	30828.88
"Página web"	5	581.16	30845.72
"Página web"	4	415.16	25566.22
"Comercio Eléctrónico"	4	324.9	19784.23
"Página web"	5	481.89	25366.98
"Página web"	5	498.89	31574.61
"Página web"	3	461.32	30662.86
"Página web"	4	477.15	28864.33
"Página web"	4	390.16	21007.29
"Comercio Eléctrónico"	5	411.05	24945.92
"Página web"	6	579.82	39595.45
"Página web"	4	426.17	25335.48
"Página web"	3	425.41	18642.81
"Comercio Eléctrónico"	5	466.09	26288.25
"Página web"	4	389.54	27114.09
"Comercio Eléctrónico"	3	384.74	22188.26
"Página web"	4	378.65	20770.13
"Comercio Eléctrónico"	7	531.91	26954.15
"Comercio Eléctrónico"	7	644.62	31466.86
"Página web"	6	545.23	31955.85
"Comercio Eléctrónico"	5	376.54	22477.44
"Comercio Eléctrónico"	5	402.07	20889.89
"Comercio Eléctrónico"	5	524.82	28628.38
"Página web"	4	537.55	31140.89
"Página web"	4	408.86	18676.5
"Página web"	3	345.41	21559.73
"Página web"	4	437.79	25608.6
"Página web"	4	397.6	19542.93
"Página web"	6	552.04	28797.27
"Comercio Eléctrónico"	4	347.95	13659.58
"Página web"	3	327.06	18754.26
"Comercio Eléctrónico"	7	691.4	34300.13
"Página web"	4	586.13	33482.8
"Página web"	6	569.2	34394.8
"Página web"	5	524.97	33850.7
"Comercio Eléctrónico"	6	462.78	25195.28
"Página web"	6	540.91	32808.61
"Página web"	6	580.23	30768.73
"Comercio Eléctrónico"	5	384.72	17824.2
"Página web"	6	547.56	27992.57
"Comercio Eléctrónico"	7	553.29	25986.57
"Página web"	6	656.98	38866.53
"Página web"	5	450.35	26706.43
"Comercio Eléctrónico"	3	244.63	12616.01
"Comercio Eléctrónico"	3	283.79	14146.88
"Página web"	3	375.41	24871.98
"Página web"	3	415.21	24796.1
"Página web"	6	591.14	30308.41
"Página web"	5	472.93	33322.38
"Página web"	6	652.53	33402.05
"Comercio Eléctrónico"	5	375.11	15804.97
"Página web"	3	328.97	19048.42
"Página web"	6	538.58	30753.81
"Comercio Eléctrónico"	3	398.92	13933.4
"Página web"	4	438.52	24900.87
"Página web"	6	599.68	37494.13
"Comercio Eléctrónico"	7	540.31	26015.66
"Página web"	3	331.06	23706.77
"Página web"	6	577.82	35131.97
"Comercio Eléctrónico"	5	417.4	17544.42
"Página web"	5	501.57	31152.27
"Página web"	3	348.55	17147.5
"Página web"	4	375.75	22668.39
"Comercio Eléctrónico"	4	470.14	24498.17
"Página web"	6	526.48	30040.37
"Página web"	4	434.43	26465.75
"Página web"	4	400.02	21525.86
"Comercio Eléctrónico"	7	659.04	28347.07
"Página web"	3	394.74	20845.95
"Comercio Eléctrónico"	7	540.8	25361.64
"Página web"	4	401.02	26134.52
"Página web"	4	393.42	27183.75
"Página web"	3	410.49	22773.53
"Página web"	5	463.15	32011.46
"Página web"	6	559.67	32956.93
"Página web"	3	398.83	29141.16
"Página web"	5	579.03	30923.8
"Comercio Eléctrónico"	6	542.27	26396.57
"Página web"	5	628.5	31849.03
"Comercio Eléctrónico"	3	242.82	12793.53
"Página web"	4	547.89	31487.93
"Página web"	4	453.99	28784.16
"Comercio Eléctrónico"	5	395.69	13095.78
"Página web"	6	542.69	34070.63
"Página web"	4	419.3	24509.07
"Página web"	6	532.38	30562.57
"Página web"	7	733.37	39961.22
"Comercio Eléctrónico"	7	525.02	27376.31
"Comercio Eléctrónico"	6	506.34	22517.52
"Página web"	3	311.86	17392.54
"Página web"	5	464.42	23674.96
"Página web"	4	396.3	22810.83
"Comercio Eléctrónico"	6	453.54	23995.98
"Página web"	6	539.57	35063.78
"Página web"	3	336.84	21305.77
"Página web"	3	419.76	27647.34
"Página web"	3	309.52	19008.66
"Comercio Eléctrónico"	4	418.89	19163.3
"Comercio Eléctrónico"	5	381.94	15716.35
"Comercio Eléctrónico"	4	406.2	21909.84
"Página web"	6	544.23	35387.26
"Página web"	5	462.12	27435.73
"Página web"	3	346.56	19562.09
"Página web"	4	379.88	21879.55
"Página web"	4	380.05	19863.02
"Página web"	6	526.86	31596.26
"Comercio Eléctrónico"	4	379.9	16885.28
"Página web"	5	499.42	33197.47
"Página web"	5	463.98	25744.15
"Página web"	4	409.54	26968.74
"Comercio Eléctrónico"	6	464.51	24317.3
"Comercio Eléctrónico"	6	574.65	26042.44
"Comercio Eléctrónico"	7	641.92	33186.85
"Comercio Eléctrónico"	6	624.94	29674.42
"Página web"	6	648.04	37447.11
"Página web"	7	657.14	34331.49
"Comercio Eléctrónico"	7	547.8	22443.14
"Página web"	4	425.65	22204.09
"Comercio Eléctrónico"	5	383.7	17529.86
"Página web"	6	545.82	29070.5
"Página web"	5	515.55	33495.37
"Página web"	5	492.02	25965.83
"Comercio Eléctrónico"	4	476.09	20304.82
"Página web"	5	521.63	34467.26
"Página web"	6	666.51	38930.66
"Página web"	5	463.24	21524.21
"Página web"	5	452.08	19680.21
"Página web"	4	433.7	30284.81
"Página web"	5	485.82	26761.81
"Página web"	3	305.95	16827.18
"Página web"	6	528.06	34838.8
"Página web"	5	562.4	37619.62
"Página web"	4	414.91	23422.16
"Página web"	3	373.72	20088.82
"Página web"	7	692.98	39581.63
"Comercio Eléctrónico"	5	409.11	18115.59
"Página web"	6	552.54	35575.53
"Comercio Eléctrónico"	3	347.87	15427.17
"Página web"	6	540.43	36738.7
"Página web"	5	620.8	36161.33
"Comercio Eléctrónico"	6	592.78	35469.18
"Página web"	4	375.16	21644.61
"Página web"	3	306.86	19668
"Página web"	5	464.04	32176.5
"Comercio Eléctrónico"	5	428.7	21727.62
"Comercio Eléctrónico"	6	571.5	25139.24
"Página web"	6	526.62	26979.43
"Comercio Eléctrónico"	4	319.39	15935.36
"Página web"	6	601.8	35551.61
"Página web"	5	451.67	28074
"Comercio Eléctrónico"	5	571.8	32047.38
"Página web"	4	446.18	27723.4
"Página web"	4	404.13	22776.94
"Página web"	5	508.4	30323.07
"Página web"	5	453.32	30683.3
"Página web"	6	547.95	29489.65
"Página web"	3	330.71	20140.87
"Página web"	6	560.05	30388.18
"Página web"	5	493.34	26909.49
"Comercio Eléctrónico"	3	358.99	17198.66
"Comercio Eléctrónico"	6	642.09	35086.05
"Comercio Eléctrónico"	4	384.32	21725.1
"Página web"	4	413.79	23742.89
"Página web"	4	406.93	20936.66
"Comercio Eléctrónico"	5	493.59	28024.27
"Página web"	3	300.12	18294.27
"Comercio Eléctrónico"	6	544.86	32632.97
"Página web"	4	418.71	25246.36
"Comercio Eléctrónico"	4	343.54	14826.48
"Página web"	4	403.02	23588.41
"Página web"	6	536.68	32632.33
"Comercio Eléctrónico"	4	397.39	17108.05
"Página web"	5	465.93	30827.91
"Página web"	6	533.6	34054.36
"Página web"	5	461.04	23230.11
"Página web"	4	423.21	25037.01
"Página web"	4	389.15	23451.02
"Página web"	5	471.04	26978.6
"Comercio Eléctrónico"	5	385.59	16954.34
"Página web"	3	316.86	25334.53
"Página web"	7	632.12	33094.29
"Página web"	4	525.52	32434.21
"Página web"	4	390.33	25562.74
"Página web"	5	608.35	38634.06
"Página web"	3	416.58	27011.48
"Comercio Eléctrónico"	6	456.26	21261.64
"Página web"	4	489.41	28770.42
"Página web"	3	408.48	23705.45
"Comercio Eléctrónico"	5	462.83	17554.25
"Página web"	6	543.97	32007.32
